caseid,weight,sample,int_date,lang,cregion,state,usr,density,form,q1,q2a,q2b,q2c,q2e,q2f,q2gf1,q2hf2,q3,q4,q5a,q5b,q5c,q6,q7,q8,q9f1,q9f1_code1,q9f1_code2,q9f1_code3,q12a,q12b,q13,q16,q17,q18,q20f1,q21af2,q21bf2,q21cf2,q23,q24a,q24b,q24c,q24d,q24e,q24f,q25,q27,q28,q29,q30,q32,q33,q34,q35,q37,q38,q39,q40,q41,knosct14,knosct15,knosct16,knosct17,knosct18,knosct19,knosct_count,sexz,agerec,educ2,scideg,hisp,racecmb,race3m1,race3m2,race3m3,race3m4,racethn,birth_hisp,usborn,marital,parent,citizen,relig,chr,born,attend,income,reg,party,partyln,ideo,hh1,hh3,eminuse,intmob,ql1,ql1a,qc1
103934,1.7142857142857142,1,82414,1,3,13,R,1,1,1,3,2,3,2,3,2, ,1,1,1,1,1,1,2,2, , , , ,1,1,1,1,1,1,1, , , ,9,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,4,2,2,1,3,2,2,3,1,2,4,2,2,88,3, ,2,1,1, , , ,1, ,1,5,2, ,1, ,1,2,2,1,2, ,1,1, ,2,2,1, , 
103955,10.714285714285714,1,82214,1,2,20,U,1,1,2,3,1,4,9,4,2, ,1,1,9,1,1,1,1,2, , , , ,1,1,1,9, ,9,9, , , ,9,2,1,1,1,1,1,1,1,2,1,1,9,2,2,2,4,2,2,1,2,3,9,9,8,8,8,0,2,84,3, ,2,1,1, , , ,1, ,1,3,2, ,1, ,2,6,2,1,1, ,1,1, ,2,2,2, , 
103957,6.071428571428571,1,82214,1,3,48,S,2,1,2,2,2,3,3,3,2, ,1,1,1,1,1,1,1,1,1,2, , ,9,1,1,2, ,2,3, , , ,2,1,9,1,1,1,1,2,1,1,1,1,2,2,2,1,4,1,1,1,1,1,2,1,3,2,1,6,1,55,3, ,2,1,1, , , ,1, ,1,1,2, ,1, ,1,3,6,1,1, ,1,2,2,1,1,1, , 
103958,4.285714285714286,1,82214,1,3,21,U,1,2,2,2,1,4,3,4, ,3,1,1,2,1,1,1,2,1, , , , ,1,9,1,1,1,2, ,2, ,1,2,2,2,2,1,2,1,2,1,1,1,1,2,2,2,2,3,2,1,1,1,1,2,1,3,2,1,6,1,27,4, ,1,1,1, , , ,3,2, ,1,2, ,2, ,2,5,4,1,3,1,3,4,2,1,1,1, , 
103962,2.5714285714285716,1,82214,1,2,18,S,4,2,2,3,2,3,2,2, ,4,2,1,1,1,1,2,1,1, , , , ,2,2,2,1,2,2, ,1,2, ,2,1,2,2,1,1,2,2,2,2,1,1,2,2,2,9,2,1,2,1,3,1,8,8,8,8,8,1,2,67,3, ,2,1,1, , , ,1, ,1,1,2, ,2, ,2,2,10,1,3,1,3,3,3,2,2,1, , 
103965,10.571428571428571,1,82214,1,3,12,S,2,1,2,3,4,4,2,3,3, ,3,1,1,1,1,1,1,1,1,4, , ,1,1,1,2, ,2,2, , , ,1,1,2,1,2,2,2,2,1,2,1,1,1,2,1,1,2,1,1,2,2,2,2,4,3,1,1,3,2,67,5, ,2,1,1, , , ,1, ,1,3,2, ,1, ,1,2,4,1,2, ,2,2,2,2,2,1, , 
103975,7.357142857142857,1,82214,1,3,13,R,4,2,1,1,1,2,2,3, ,1,4,1,1,1,1,9,2,1, , , , ,1,1,1,1,1,1, ,1,1, ,1,1,9,1,1,1,1,2,1,1,2,1,2,2,1,2,3,1,2,1,3,2,1,1,3,1,8,2,1,87,1, ,2,1,1, , , ,1, ,1,5,2, ,1, ,1,1,4,1,4,2,2,1, ,2,2,1, , 
103979,1.1428571428571428,1,82314,1,3,51,R,4,1,2,3,2,3,3,3,2, ,3,1,1,1,1,1,1,1,9,99, , ,1,1,2,1,1,1,2, , , ,1,2,2,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,2,1,1,1,3,3,3,3,2,84,3, ,2,1,1, , , ,1, ,1,5,2, ,1, ,1,3,4,1,1, ,2,1, ,2,1,1, , 
103987,20.357142857142858,1,82214,1,2,39,R,2,1,2,3,3,3,3,3,3, ,1,1,1,1,2,1,2,2, , , , ,1,1,1,1,2,2,1, , , ,2,1,2,2,1,2,1,2,1,2,1,1,2,1,1,2,1,2,2,1,1,3,1,2,3,2,1,3,1,72,3, ,2,3,3, , , ,4, ,1,1,2, ,13, ,1,2,2,1,2, ,2,2,2,2,2,1, , 
103989,6.071428571428571,1,82214,1,1,25,U,5,1,1,2,2,3,2,4,2, ,1,1,1,1,1,1,1,2, , , , ,1,1,1,1,9,1,2, , , ,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,4,1,1,2,3,1,2,1,3,1,8,4,1,58,4, ,2,1,1, , , ,1, ,1,1,2, ,2, ,2,2,9,1,3,9,2,2,2,1,1,1, , 
104007,4.857142857142857,1,82214,1,1,36,S,3,1,2,3,1,2,3,4,4, ,2,1,3,3,1,2,2,2, , , , ,1,1,1,1,1,1,2, , , ,1,1,2,2,2,2,1,2,1,2,1,2,2,2,1,2,4,1,1,2,1,9,1,1,3,2,1,4,2,80,8,2,2,1,1, , , ,1, ,1,1,2, ,1, ,2,2,7,1,2, ,4,2,2,1,1,1, , 
104011,9.071428571428571,1,82214,1,3,45,S,3,1,2,9,2,2,3,3,2, ,4,1,1,1,2,1,2,1,1,36, , ,2,1,1,2, ,2,1, , , ,2,2,1,1,2,1,2,2,1,2,1,1,2,1,1,1,4,2,2,1,1,3,1,4,2,3,2,0,1,75,2, ,2,1,1, , , ,1, ,1,4,2, ,1, ,1,1,2,1,1, ,5,2,2,1,1,1, , 
104018,2.857142857142857,1,82214,1,3,37,S,3,1,1,2,1,2,3,3,3, ,1,1,1,1,1,3,1,2, , , , ,1,1,1,1,1,1,2, , , ,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,3,1,2,2,3,1,1,1,2,1,1,3,2,67,6,2,2,1,1, , , ,1, ,1,5,2, ,12, , ,5,5,1,3,2,3,1, ,1,1,1, , 
104028,3.0714285714285716,1,82214,1,1,36,U,5,1,1,2,1,2,3,3,2, ,3,1,1,1,2,2,2,2, , , , ,1,1,1,1,2,2,9, , , ,2,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,4,1,2,1,3,1,1,1,3,2,1,5,1,28,6,2,2,1,1, , , ,1, ,1,6,2, ,1, ,2,3,9,3,3,1,2,2,2,1,1,1, , 
104029,1,1,82214,1,1,36,U,5,1,2,3,1,4,3,1,1, ,3,2,2,2,2,2,1,2, , , , ,2,9,9,2, ,2,2, , , ,2,1,2,9,2,1,1,2,1,1,1,9,1,2,1,2,3,2,2,3,3,1,8,8,3,2,3,3,2,61,8,1,2,2,2, , , ,2, ,1,6,2, ,1, ,2,2,4,1,2, ,3,1, ,1,2,1, , 
104032,11.071428571428571,1,82214,1,1,36,U,5,1,2,2,2,3,3,4,4, ,4,1,1,1,1,1,1,2, , , , ,1,1,1,1,2,1,2, , , ,1,2,2,1,1,2,2,1,1,2,1,1,2,2,1,2,2,2,2,2,3,1,2,2,3,2,4,4,2,43,3, ,2,1,1, , , ,1, ,1,1,2, ,2, ,2,4,3,1,2, ,2,3,3,1,1,1, , 
104040,1.0714285714285714,1,82214,1,3,24,S,3,2,2,1,1,2,3,1, ,1,1,1,1,1,1,1,2,1, , , , ,1,1,1,1,9,1, ,3, , ,2,9,1,1,1,1,1,1,1,1,1,1,1,9,9,1,4,1,1,3,1,1,2,1,3,2,1,6,1,65,8,2,2,1,1, , , ,1, ,1,1,2, ,2, ,2,4,9,1,1, ,3,2,2,1,1,1, , 
104056,3.857142857142857,1,82214,1,3,13,S,3,2,2,3,2,3,4,3, ,3,2,1,2,1,2,2,1,2, , , , ,2,2,2,1,1,1, ,2, ,2,1,2,1,2,1,1,2,2,1,2,1,2,1,2,2,2,3,2,2,2,3,1,2,1,3,2,1,6,1,60,4, ,2,1,1, , , ,1, ,1,1,2, ,1, ,2,3,6,3,3,1,3,2,2,1,1,1, , 
104057,1.5,1,82214,1,3,1,R,1,1,2,3,2,2,3,3,2, ,4,1,1,1,1,1,2,1,1,1, , ,1,1,1,2, ,2,2, , , ,2,2,1,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,1,3,3,1,1,3,2,2,3,2,60,4, ,2,1,1, , , ,1, ,1,6,2, ,1, ,1,2,2,1,1, ,2,1, ,2,1,1, , 
104062,21.285714285714285,1,82514,1,3,5,R,1,1,1,2,1,2,9,3,2, ,1,1,1,2,9,9,1,2, , , , ,1,1,2,2, ,2,1, , , ,2,9,9,9,9,9,1,2,2,9,9,9,3,2,2,1,4,9,2,2,9,1,1,8,8,8,8,1,2,74,3, ,2,1,1, , , ,1, ,1,1,2, ,1, ,1,2,10,9,9,9,9,2,2,1,2,1, , 
104063,19.857142857142858,1,82514,1,2,31,U,2,2,2,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1, , , , ,1,1,1,1,2,2, ,1,1, ,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,3,2,1,4,2,81,3, ,2,5,5, , , ,4, ,1,5,2, ,1, ,2,2,2,1,2, ,3,1, ,2,2,2, , 
104065,1.8571428571428572,1,82214,1,3,22,R,1,2,2,2,1,1,1,1, ,1,1,1,1,1,1,1,9,1, , , , ,1,1,1,2, ,1, ,1,1, ,1,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,4,2,2,1,2,3,8,8,2,2,8,1,2,78,1, ,2,1,1, , , ,1, ,1,5,2, ,1, ,1,1,1,1,1, ,1,1, ,2,2,1, , 
104066,9.571428571428571,1,82214,1,2,17,S,5,1,2,1,2,3,3,2,3, ,1,1,1,1,1,2,2,2, , , , ,1,1,1,1,2,1,2, , , ,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,2,3,1,2,1,3,1,2,1,3,2,1,6,2,58,8,1,2,1,1, , , ,1, ,1,1,1, ,2, ,2,4,9,1,2, ,4,4,3,1,1,1, , 
104067,12,1,82214,1,3,5,U,2,1,1,1,1,2,1,1,1, ,1,1,1,1,1,2,2,2, , , , ,1,1,1,1,9,2,2, , , ,2,2,2,2,1,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2,1,1,2,1,3,2,9,5,2,60,3, ,2,1,1, , , ,1, ,1,1,2, ,1, ,2,5,6,1,2, ,2,2,2,1,9,1, , 
104094,5.142857142857143,1,82214,1,3,1,U,2,2,2,3,3,4,2,4, ,4,3,1,2,1,2,2,2,1, , , , ,2,1,1,2, ,1, ,1,2, ,1,1,1,1,1,1,1,2,1,2,2,1,9,1,1,2,4,2,2,1,2,2,2,4,3,3,1,3,2,38,3, ,2,1,1, , , ,1, ,1,3,1, ,11,1,1,6,1,3,1, ,4,3,1,1,1,1, , 
104101,1.3571428571428572,1,82214,1,2,17,S,5,2,2,2,2,3,3,3, ,2,1,1,2,1,2,1,1,2, , , , ,1,1,1,2, ,2, ,1,2, ,2,2,2,1,2,1,2,2,1,1,1,1,2,2,2,2,1,2,1,2,2,1,2,1,1,2,4,4,2,27,6,1,2,2,2, , , ,2, ,1,6,2, ,1, ,1,2,6,1,2, ,3,1, ,1,1,1, , 
104102,3.2857142857142856,1,82214,1,3,48,S,1,1,2,4,9,9,4,4,4, ,1,2,2,2,2,1,1,2, , , , ,9,9,2,1,9,2,1, , , ,2,2,2,2,2,2,2,1,2,2,2,2,9,2,2,2,1,2,1,1,3,1,2,1,3,2,1,6,2,64,3, ,2,1,1, , , ,1, ,1,5,2, ,13, ,1,9,2,1,3,9,2,2,2,1,1,1, , 
104103,2.9285714285714284,1,82214,1,2,29,U,5,1,2,3,1,4,3,4,2, ,1,2,2,2,1,1,1,1,9,99, , ,2,1,1,1,1,1,3, , , ,2,2,1,2,1,2,1,1,1,2,2,2,2,2,1,2,1,2,1,1,3,1,2,1,3,2,1,6,1,61,8,2,2,1,1, , , ,1, ,1,1,2, ,2, ,2,6,8,3,3,1,2,2,2,1,1,1, , 
104107,2.7142857142857144,1,82214,1,2,17,U,5,2,1,3,9,3,2,3, ,3,2,1,1,9,9,1,9,1, , , , ,1,1,1,2, ,1, ,1,1, ,1,1,9,1,9,2,2,2,2,2,1,1,2,1,1,1,2,9,1,2,9,3,2,3,2,1,1,2,2,62,4, ,2,2,2, , , ,2, ,1,1,2, ,1, ,1,3,2,1,2, ,3,3,3,1,1,1, , 
104114,1.3571428571428572,1,82214,1,3,48,S,5,2,2,3,1,3,3,2, ,2,1,1,2,1,1,2,1,1, , , , ,1,1,1,1,2,2, ,2, ,1,1,1,1,1,2,1,1,2,1,2,2,2,1,2,1,2,2,1,2,2,1,1,2,1,3,2,1,6,2,67,8,2,2,1,1, , , ,1, ,1,1,2, ,1, ,2,4,6,1,1, ,3,2,2,1,1,1, , 
104119,4.357142857142857,1,82214,1,2,17,S,3,2,2,2,1,3,3,2, ,1,2,1,1,1,9,2,1,2, , , , ,1,1,2,1,2,2, ,2, ,1,2,1,1,1,2,1,2,2,1,2,2,1,2,2,2,2,4,2,1,2,3,1,2,1,3,2,1,6,1,53,3, ,2,1,1, , , ,1, ,1,3,2, ,1, ,2,3,3,1,1, ,2,2,2,1,1,1, , 
104126,2.2142857142857144,1,82214,1,3,48,R,1,1,2,2,1,9,2,4,3, ,1,1,1,1,1,1,2,2, , , , ,1,1,1,1,9,1,2, , , ,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,2,2,1,1,2,1,71,4, ,2,2,2, , , ,2, ,1,1,2, ,13, ,1,3,3,1,2, ,4,2,2,2,2,1, , 
104130,2.642857142857143,1,82214,1,3,22,S,1,1,1,2,2,3,2,3,3, ,1,1,1,1,1,2,2,2, , , , ,1,1,1,1,1,1,2, , , ,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,4,3,2,1,4,1,83,6,1,2,2,2, , , ,2, ,1,4,2, ,10, , ,6,3,1,2, ,5,1, ,1,2,1, , 
104136,2.2857142857142856,1,82214,1,3,48,U,4,1,1,1,1,2,2,1,1, ,1,1,1,1,1,2,2,2, , , , ,1,1,1,1,1,1,2, , , ,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,1,1,2,2,2,3,1,2,1,8,1,8,3,2,64,6,2,2,1,1, , , ,1, ,1,2,2, ,2, ,2,4,5,1,2, ,4,2,2,1,2,2,1, 
104139,6.571428571428571,1,82514,1,3,40,R,1,2,2,3,2,4,3,4, ,2,2,1,1,1,1,1,2,2, , , , ,2,1,2,9, ,1, ,2, ,2,2,1,1,1,2,1,2,1,1,1,2,1,1,2,2,1,3,1,2,9,1,1,2,1,3,2,1,6,1,75,6,2,2,1,1, , , ,1, ,1,1,2, ,12, , ,4,10,1,2, ,2,2,2,1,2,1, , 
104144,4.785714285714286,1,82214,1,3,48,U,2,2,2,3,2,2,4,3, ,2,1,1,1,1,1,2,2,2, , , , ,1,1,1,1,2,1, ,1,2, ,2,1,2,2,2,1,2,2,2,1,1,1,2,1,1,2,4,1,1,2,3,1,2,8,3,1,1,4,2,77,5, ,2,1,1, , , ,1, ,1,1,2, ,1, ,2,3,6,1,2, ,4,2,2,1,2,2,1, 
104155,1.9285714285714286,1,82214,1,3,48,R,1,2,2,2,3,4,4,4, ,3,4,1,1,1,1,1,1,1, , , , ,1,1,1,2, ,1, ,1,1, ,1,2,1,1,1,1,1,2,1,2,1,1,2,2,1,2,1,2,2,1,3,1,1,1,3,2,1,5,2,50,3, ,1,1,1, , , ,3,1, ,6,2, ,2, ,2,2,6,1,2, ,3,2,2,1,2,1, , 
104173,1,1,82214,1,3,47,U,4,2,2,2,4,4,4,2, ,3,1,2,2,2,2,2,1,2, , , , ,9,1,1,2, ,9, ,1,2, ,2,9,2,9,9,1,2,2,1,2,1,2,3,2,2,2,2,2,1,1,3,1,9,9,3,2,1,4,2,70,6,2,2,2,2, , , ,2, ,1,3,2, ,13, ,1,1,3,1,2, ,9,2,1,2,2,1, , 
104177,3.142857142857143,1,82214,1,4,8,S,3,2,2,2,2,3,9,2, ,2,2,1,1,1,1,1,1,1, , , , ,1,9,2,2, ,9, ,2, ,2,2,1,1,1,2,1,9,1,2,2,2,2,2,2,2,9,3,9,2,1,3,1,2,1,3,2,1,6,2,60,5, ,2,1,1, , , ,1, ,1,1,2, ,1, ,1,2,8,1,1, ,1,2,2,1,1,1, , 
104182,1.7142857142857142,1,82214,1,4,8,R,1,2,2,2,1,1,2,1, ,1,1,1,1,1,1,2,2,2, , , , ,1,1,1,1,2,1, ,1,2, ,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,4,1,2,1,2,1,2,1,3,2,1,6,1,76,8,1,2,1,1, , , ,1, ,1,1,2, ,1, ,1,1,2,1,1, ,2,2,2,1,1,1, , 
104203,10.571428571428571,1,82214,1,3,13,S,5,1,2,3,1,3,4,2,2, ,2,1,2,9,2,1,2,2, , , , ,1,1,1,2, ,1,2, , , ,1,2,2,2,2,2,2,2,2,1,9,2,1,2,2,2,4,2,2,1,3,1,1,1,3,2,3,4,2,54,4, ,2,9,9, , , ,9, ,1,1,1, ,13, ,2,1,5,1,2, ,2,4,3,1,2,2,1, 
104230,2.642857142857143,1,82214,1,3,48,S,5,1,2,3,1,1,3,2,2, ,3,2,1,1,1,1,9,2, , , , ,1,1,1,1,1,2,1, , , ,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,4,2,2,1,3,1,2,1,3,2,1,6,2,57,4, ,2,1,1, , , ,1, ,1,1,2, ,13, ,9,2,3,1,4,1,2,2,2,1,1,1, , 
104244,4.071428571428571,1,82214,1,2,39,U,5,2,2,3,1,3,4,3, ,4,2,1,1,1,2,1,1,2, , , , ,1,1,1,1,1,2, ,1,2, ,2,1,2,2,1,2,2,1,1,2,1,1,2,2,2,1,1,1,2,1,3,1,2,1,3,2,1,6,2,67,3, ,2,2,2, , , ,2, ,1,6,2, ,1, ,2,3,2,1,2, ,3,1, ,1,2,1, , 
104254,4.071428571428571,1,82214,1,1,36,U,5,2,2,2,1,3,3,4, ,3,1,1,1,1,1,1,1,2, , , , ,1,1,1,1,1,1, ,2, ,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1,3,2,2,1,2,1,3,2,2,56,5, ,2,2,2, , , ,2, ,1,4,2, ,1, ,1,3,5,1,2, ,1,5,3,1,1,1, , 
104255,1.3571428571428572,1,82214,1,3,48,S,2,1,2,2,4,3,3,2,3, ,3,1,2,2,2,1,2,1,1,1, , ,2,2,2,2, ,1,2, , , ,1,1,2,1,1,1,2,1,1,1,2,1,2,2,2,2,3,2,2,1,3,3,1,3,3,1,1,2,2,67,4, ,2,1,1, , , ,1, ,1,5,2, ,13, ,1,1,3,1,1, ,1,1, ,1,1,1, , 
104259,3.642857142857143,1,82214,1,3,21,U,4,2,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,2, , , , ,1,1,1,2, ,1, ,1,1, ,1,2,2,1,1,1,2,2,1,1,1,2,1,2,1,2,2,1,1,1,3,1,2,2,3,2,4,4,2,60,4, ,2,2,2, , , ,2, ,1,1,2, ,1, ,1,1,2,1,2, ,5,2,2,1,2,1, , 
104262,4.357142857142857,1,82514,1,3,28,R,1,1,2,4,9,2,2,1,2, ,3,2,1,9,9,1,2,1,9,99, , ,2,1,9,9, ,1,1, , , ,9,2,2,2,2,9,2,1,2,1,2,2,9,2,2,2,1,9,1,3,9,2,2,4,8,8,8,1,2,73,3, ,2,2,2, , , ,2, ,1,3,2, ,1, ,1,4,1,1,2, ,9,1, ,2,2,2, , 
104277,3.857142857142857,1,82214,1,4,8,U,3,2,2,2,1,3,4,4, ,3,2,1,1,2,1,2,2,2, , , , ,1,1,2,1,9,2, ,1,2, ,2,9,9,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,3,1,8,8,3,2,8,3,2,76,3, ,2,1,1, , , ,1, ,1,5,2, ,1, ,2,2,5,1,3,9,3,1, ,1,2,1, , 
104288,1.5714285714285714,1,82214,1,4,4,U,3,1,2,3,1,3,2,3,3, ,1,3,1,9,1,1,2,2, , , , ,1,1,2,1,2,2,1, , , ,2,1,1,1,1,9,2,1,9,2,9,1,2,2,9,2,3,2,2,9,2,1,1,2,3,2,1,4,2,86,8,2,2,1,1, , , ,1, ,1,1,2, ,1, ,2,3,4,1,3,1,3,2,2,1,1,1, , 
104290,1.7142857142857142,1,82214,1,4,4,S,3,1,2,3,1,4,2,1,3, ,1,1,1,1,1,1,2,2, , , , ,1,1,1,1,2,1,1, , , ,1,2,1,1,1,1,1,2,1,2,1,1,1,2,2,1,3,1,2,1,3,1,2,1,3,2,1,6,1,90,8,1,2,1,1, , , ,1, ,1,1,2, ,12, , ,5,8,1,1, ,3,2,2,1,1,1, , 
104291,3.357142857142857,1,82314,1,4,4,U,2,2,2,1,1,4,1,1, ,1,2,1,1,1,1,2,2,2, , , , ,1,1,1,2, ,1, ,2, ,2,2,1,1,1,2,1,2,1,1,1,9,2,2,2,2,1,2,9,2,2,1,1,2,1,3,2,1,6,2,47,8,1,2,1,1, , , ,1, ,1,1,1, ,1, ,1,1,2,1,1, ,2,4,2,1,1,1, , 
104308,2.7857142857142856,1,82314,1,4,53,S,1,1,2,1,2,3,1,1,4, ,1,1,1,1,1,1,2,2, , , , ,9,1,1,1,2,9,1, , , ,9,2,2,1,1,2,2,1,2,2,1,1,2,2,2,1,1,2,2,1,3,1,2,1,3,2,2,5,1,49,4, ,2,1,1, , , ,1, ,1,5,1, ,2, ,2,5,6,1,1, ,2,5,4,1,1,1, , 
104310,2.2142857142857144,1,82214,1,4,6,S,1,2,1,1,1,2,4,2, ,4,2,1,1,1,1,1,9,2, , , , ,1,1,1,1,1,1, ,1,2, ,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,3,1,1,2,3,1,2,1,1,3,1,4,1,50,3, ,2,1,1, , , ,1, ,1,3,1, ,12, , ,6,2,1,2, ,4,3,1,1,1,1, , 
104313,1.7142857142857142,1,82214,1,4,6,S,4,2,2,3,1,3,3,1, ,3,1,1,1,1,1,2,2,2, , , , ,1,1,2,1,1,1, ,1,1, ,1,1,1,2,2,2,1,2,1,2,1,1,1,2,1,2,1,2,1,2,3,3,1,4,1,3,2,0,2,62,4, ,2,1,1, , , ,1, ,1,3,2, ,7, , ,6,8,1,2, ,4,1, ,1,1,1, , 
104315,3.142857142857143,1,82514,1,4,32,U,2,1,2,3,3,3,4,4,4, ,4,2,2,2,2,2,2,2, , , , ,2,2,2,1,1,2,1, , , ,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,3,3,2,2,1,2,1,3,2,90,2, ,2,1,1, , , ,1, ,1,5,2, ,2, ,2,3,3,1,2, ,3,1, ,2,2,2, , 
104339,22.357142857142858,1,82214,1,4,6,R,1,2,2,3,1,3,4,3, ,4,4,1,1,1,2,1,1,2, , , , ,1,1,2,1,1,1, ,2, ,9,1,1,2,9,1,1,2,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,1,1,3,1,4,1,23,3, ,2,1,1, , , ,1, ,1,2,2, ,1, ,2,4,2,1,3,1,3,2,2,1,2,2,1, 
104346,3.357142857142857,1,82214,1,4,6,U,2,2,1,3,2,3,3,2, ,4,2,1,1,2,2,1,1,2, , , , ,2,1,1,1,1,1, ,1,1, ,2,2,2,2,1,1,2,2,2,2,1,2,1,2,1,2,4,1,2,2,3,3,2,1,3,3,1,4,1,18,3, ,2,1,1, , , ,1, ,1,6,2, ,10, , ,3,6,3,3,1,2,3,3,1,1,1, , 
104369,7.571428571428571,1,82214,1,4,53,U,4,2,2,4,4,4,4,4, ,4,2,2,2,2,2,2,1,9, , , , ,1,1,1,1,2,2, ,1,1, ,2,2,2,2,2,2,2,1,1,2,9,2,2,9,1,2,1,2,2,9,3,3,9,9,8,8,1,1,2,69,8,2,2,1,1, , , ,1, ,2,1,2,2,1, ,2,2,3,2,3,2,5,4,4,1,1,1, , 
104376,1.5714285714285714,1,82214,1,4,6,S,3,1,2,2,3,3,4,4,2, ,2,1,1,1,1,1,2,2, , , , ,1,2,2,1,1,1,3, , , ,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,4,1,2,1,1,1,2,1,3,2,1,6,1,69,7,2,2,9,9, , , ,9, ,1,1,2, ,10, , ,4,7,1,3,1,1,1, ,1,1,1, , 
104393,10.285714285714286,1,82514,1,4,32,U,2,2,2,3,2,2,3,3, ,4,1,1,1,2,1,2,1,1, , , , ,1,1,1,1,1,1, ,1,1, ,1,2,2,1,1,2,1,2,2,1,1,1,1,2,1,2,2,2,1,1,3,3,1,2,2,3,4,0,2,52,4, ,2,1,1, , , ,1, ,2,1,1,2,5, , ,4,3,3,2, ,3,5,2,1,1,1, , 
104404,2.4285714285714284,1,82314,1,1,34,S,4,1,2,2,2,4,3,2,3, ,1,1,1,1,1,1,1,1,1,2, , ,1,1,1,1,2,2,3, , , ,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,3,2,2,1,3,2,2,1,3,3,4,3,2,58,6,2,2,1,1, , , ,1, ,1,5,2, ,2, ,1,2,7,1,3,1,3,2,2,1,2,1, , 
104406,4.571428571428571,1,82314,1,1,34,S,5,1,2,2,1,2,2,1,3, ,1,1,1,1,1,1,2,2, , , , ,1,1,1,1,2,1,2, , , ,1,1,2,2,1,1,2,2,1,2,1,1,1,2,1,1,4,1,2,1,3,1,2,1,3,2,1,6,1,62,8,2,2,1,1, , , ,1, ,1,1,2, ,2, ,2,2,9,1,1, ,3,2,2,1,1,1, , 
104425,5.642857142857143,1,82314,1,1,34,S,4,2,1,3,3,3,3,2, ,3,2,1,1,1,1,1,1,2, , , , ,1,1,9,1,9,1, ,1,2, ,9,2,2,2,9,2,2,2,2,2,2,2,9,2,2,2,2,2,1,2,3,1,1,8,3,2,8,3,2,86,5, ,2,1,1, , , ,1, ,1,5,2, ,1, ,2,5,1,1,2, ,3,1, ,2,2,2, , 
104439,15.714285714285714,1,82314,1,3,21,S,2,1,1,2,2,3,3,2,2, ,1,1,1,1,2,2,2,2, , , , ,1,1,1,1,1,1,2, , , ,1,1,2,9,1,1,1,2,1,2,1,1,2,1,1,2,4,1,1,1,3,1,2,1,3,2,1,6,2,40,8,2,2,1,1, , , ,1, ,1,1,1, ,7, , ,4,9,1,2, ,4,3,2,1,1,1, , 
104443,3.7857142857142856,1,82414,1,1,36,U,5,2,2,3,1,2,3,2, ,3,4,2,1,1,1,2,9,2, , , , ,1,1,1,2, ,2, ,1,1, ,1,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,3,2,2,2,1,1,8,8,2,2,8,2,1,87,5, ,2,2,2, , , ,2, ,2,4,2,2,2, ,1,3,6,1,2, ,4,1, ,2,2,2, , 
104445,1.5714285714285714,1,82314,1,3,37,R,2,1,1,3,2,3,3,2,2, ,1,1,1,1,1,2,2,2, , , , ,1,1,1,1,2,1,2, , , ,1,1,2,2,1,1,1,2,1,2,1,1,2,2,2,2,3,2,2,2,1,1,1,2,3,2,1,4,2,80,8,2,2,1,1, , , ,1, ,1,1,2, ,1, ,1,2,10,1,2, ,3,2,2,1,2,1, , 
104447,2.7857142857142856,1,82514,1,3,12,S,2,2,2,4,3,4,4,4, ,4,4,2,2,2,1,1,1,1, , , , ,2,2,1,9, ,2, ,1,2, ,2,2,1,9,9,1,2,2,2,2,2,2,2,2,2,2,3,2,2,1,3,2,8,8,8,2,8,1,2,65,4, ,2,1,1, , , ,1, ,1,3,2, ,1, ,1,1,1,1,1, ,1,2,2,1,2,1, , 
